Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (N),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (N/W),Overall Efficiency (N/W),Vibration (g),App message,
1.228278399999831,1000,,,,-0.06533203125,0.02267578125,-1.00693359375,-0.010888444562987192,0.23258131359392256,48.790932235717776,0.05519120991230019,0,0,2.692830238728631,0,0,0,0,0.15921875,,
1.2100848499998584,1100,,,,-0.070703125,0.02720703125,-1.00728515625,-0.004309682077877563,0.5425766708110021,48.79134223937988,0.05462059438228615,0,0,2.665012530618169,0,0,0,0,0.1091796875,,
7.598086949999911,1193.3333333333317,,,,-0.0675,0.0218359375,-1.00181640625,0.0071017179867656054,0.9991911592432247,48.77597599029541,0.18320643901824935,0,0,8.936040025006355,0,0,0,0,0.124921875,,
13.955783899999874,1286.6666666666686,,,,-0.0684765625,0.0207421875,-1.00232421875,0.047854586108039596,2.5439554939235336,48.729860343933105,0.5537206041812888,0,0,26.982694004141702,0,0,0,0,0.2013671875,,
20.33075644999987,1380,,,,-0.0719921875,0.022734375,-1.00306640625,0.11550348933695703,5.917976959143051,48.62789520263672,1.3245776176452653,0,2603,64.41130197331955,31.484572022051864,48.988259011177554,0.1882461073057751,0.09203250983903942,0.81068359375,,
26.71099649999991,1473.3333333333328,,,,-0.1068359375,0.04546875,-1.00171875,0.2174807992959413,10.842537174536437,48.4514440536499,2.622185832262042,0,3448,127.04753018612514,78.52903667624948,62.08891370326517,0.1381855722485583,0.0856588483196266,0.71248046875,,
33.073097249999904,1566.6666666666665,,,,-0.06595703125,0.020859375,-1.00470703125,0.3251568751303527,16.58086064807623,48.17353359222412,4.499597657918933,0,4250,216.7597032170532,144.7231780401075,66.94054753238373,0.11464680708760908,0.07666990041884168,0.50953125,,
39.43696574999989,1660,,,,-0.07251953125,0.01505859375,-1.0023046875,0.3783968563703573,19.182038038089935,47.94290439605713,5.493018544912342,0,4570,263.35138956571177,181.09556321324482,68.80383355044994,0.10592560596353504,0.07287913735872355,0.70337890625,,
45.808362099999904,1753.3333333333344,,,,-0.0705859375,0.01412109375,-1.00478515625,0.37026864371003937,18.771862325446865,47.81327060699463,5.433198040723804,0,4571,259.7786230306873,177.24165824847233,68.2643152703838,0.10591423460507435,0.0723000063369547,0.77953125,,
52.12807794999991,1846.6666666666652,,,,-0.06955078125,0.02009765625,-1.00716796875,0.36773568125268696,18.758471453668037,47.69265724182129,5.432737191915516,0,4570,259.10091347370457,175.96944993117467,67.96628296756234,0.10660160823451496,0.07245140060634099,0.70748046875,,
58.440276849999876,1940,,,,-0.07095703125,0.01078125,-0.9988671875,0.37073657115595976,18.749905636070874,47.576947631835935,5.470438030958179,0,4571,260.26621097086354,177.45864616899888,68.22064509873182,0.10565949795478911,0.0720790412198733,0.82849609375,,
