Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (N),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (N/W),Overall Efficiency (N/W),Vibration (g),App message,
1.232736049999963,1000,,,,-0.06568359375,0.0205078125,-1.00255859375,-0.00793571129780391,0.005119885785311959,48.1355595779419,0.06733285784721384,0,0,3.241103993109699,0,0,0,0,0.1301953125,,
1.2429279499999386,1100,,,,-0.06751953125,0.02189453125,-1.00640625,-0.008165920755402657,-0.00011788197420527201,48.135540351867675,0.06625211775302896,0,0,3.189082258926437,0,0,0,0,0.08951171875,,
7.644211749999909,1193.3333333333317,,,,-0.0685546875,0.02267578125,-1.00294921875,0.010990210949053576,0.546398401075304,48.12716300964355,0.12201144278049447,0,0,5.872051967460497,0,0,0,0,0.1266015625,,
14.029636549999921,1286.6666666666686,,,,-0.068515625,0.020546875,-0.99990234375,0.07650749672437383,2.53200642509047,48.099032974243165,0.33879366993904125,0,0,16.295613436441588,0,0,0,0,0.19505859375,,
20.403310499999954,1380,,,,-0.06806640625,0.0188671875,-1.00248046875,0.19031432924909283,6.1497186570406415,48.02809108734131,0.8693306422233585,0,1836,41.75201782089113,36.61471172862643,88.33411046727497,0.18516502018543043,0.14827188482992046,0.270859375,,
26.753633349999923,1473.3333333333328,,,,-0.06646484375,0.0164453125,-1.0033984375,0.34126036263049336,11.247141417971264,47.89793563842773,1.7774439656734493,0,1687,85.13561270830004,60.28681560405923,70.9472755200578,0.18669682644245367,0.13232532244860937,0.52759765625,,
33.1195622999999,1566.6666666666665,,,,-0.06583984375,0.01599609375,-1.0029296875,0.5380996391662592,18.08706585463111,47.67415271759033,3.2426930558681524,0,2107,154.5920268451224,118.74372943496803,76.88709707870585,0.1523823114710335,0.11710644431278455,0.63671875,,
39.48179359999995,1660,,,,-0.064453125,0.00833984375,-1.00349609375,0.7512106386012346,25.595596892994095,47.35742000579834,5.267070811986927,0,2514,249.43461710494907,197.77268907779415,79.32063560787844,0.12943436832202082,0.10265172019548648,0.66091796875,,
45.87192224999997,1753.3333333333344,,,,-0.0684765625,0.00724609375,-1.0056640625,0.9909352621407943,33.83514551316303,46.933961410522464,8.021541742086415,0,2902,376.4778821859409,301.17216176720996,80.11194687930494,0.11239500353274687,0.08998209137105109,0.8084765625,,
52.26286234999994,1846.6666666666652,,,,-0.06279296875,-0.00189453125,-1.00052734375,1.2793780050948798,43.92656886629182,46.40555793762207,11.776917079687108,0,3384,546.5112379890035,453.3250873904839,82.98080461120006,0.09794971208091499,0.08041231209099631,0.95583984375,,
